 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3,Area4,Mean4,Min4,Max4,Area5,Mean5,Min5,Max5
16795,33152,16.986486435,12,25,5056,21.607595444,15,36,9856,22.993507385,13,77,16384,24.808593750,14,74,41664,27.004608154,13,64
16796,33152,17.017374039,12,28,5056,21.848100662,13,37,9856,22.727272034,14,80,16384,24.976562500,13,63,41664,26.949308395,13,55
16797,33152,17.023166656,11,31,5056,21.886075974,15,34,9856,22.974025726,13,79,16384,24.550781250,13,67,41664,27.105991364,14,53
16798,33152,17.138996124,12,30,5056,21.873416901,14,38,9856,22.772727966,13,78,16384,24.453125000,12,72,41664,26.784946442,14,61
16799,33152,17.075288773,12,28,5056,22.151899338,13,36,9856,22.681818008,14,74,16384,24.402343750,13,65,41664,26.910905838,15,57
16800,33152,16.969112396,12,27,5056,21.987340927,14,36,9856,23.168830872,14,76,16384,24.792968750,14,71,41664,26.837173462,15,60
16801,33152,16.926641464,12,32,5056,21.721519470,14,32,9856,22.454545975,13,78,16384,24.597656250,14,63,41664,26.917051315,14,56
16802,33152,16.891891479,11,27,5056,21.987340927,14,36,9856,22.649351120,12,77,16384,24.597656250,13,72,41664,26.801843643,14,55
16803,33152,17.108108521,11,32,5056,21.962024689,13,36,9856,22.993507385,14,83,16384,24.773437500,13,71,41664,26.741935730,14,58
16804,33152,17.048261642,12,32,5056,21.759492874,14,38,9856,22.493507385,15,85,16384,25.078125000,14,69,41664,26.933948517,14,60
16805,33152,17.001930237,11,28,5056,22.075948715,13,37,9856,22.577922821,15,76,16384,24.804687500,13,69,41664,26.984638214,13,59
16806,33152,17.025096893,11,28,5056,22.164556503,15,36,9856,22.675325394,14,82,16384,24.820312500,14,69,41664,27.109062195,14,62
16807,33152,17.027027130,12,27,5056,22.253164291,14,38,9856,22.597402573,13,78,16384,24.886718750,13,70,41664,27.158218384,15,64
16808,33152,17.075288773,12,34,5056,21.772151947,14,32,9856,22.532466888,12,69,16384,24.656250000,13,66,41664,27.043010712,14,58
16809,33152,17.102315903,12,30,5056,22.468355179,15,35,9856,22.324674606,13,83,16384,24.949218750,14,70,41664,26.933948517,14,52
16810,33152,17.196910858,12,28,5056,22.582279205,14,36,9856,22.500000000,13,80,16384,24.753906250,13,71,41664,27.258064270,14,59
16811,33152,17.063707352,12,29,5056,22.341772079,14,35,9856,22.428571701,13,79,16384,24.761718750,13,68,41664,27.400920868,13,55
16812,33152,17.021236420,12,27,5056,21.962024689,14,37,9856,22.188312531,12,81,16384,24.785156250,13,71,41664,27.044546127,14,56
16813,33152,16.907335281,11,29,5056,21.835443497,14,33,9856,22.415584564,14,78,16384,24.906250000,14,75,41664,27.058372498,13,58
16814,33152,17.106178284,12,26,5056,22.202531815,14,34,9856,22.441558838,14,75,16384,24.937500000,13,72,41664,27.138248444,14,59
16815,33152,17.065637589,10,30,5056,22.354431152,13,37,9856,22.590909958,13,80,16384,25.082031250,14,68,41664,27.059907913,14,58
16816,33152,17.152509689,12,29,5056,22.253164291,14,34,9856,22.422077179,13,80,16384,24.671875000,13,68,41664,27.179723740,14,62
16817,33152,17.090734482,12,32,5056,21.898735046,14,36,9856,22.305194855,13,74,16384,24.691406250,13,68,41664,27.098310471,14,54
16818,33152,17.036680222,12,28,5056,21.645568848,14,35,9856,22.181818008,13,77,16384,24.742187500,12,68,41664,27.158218384,14,54
16819,33152,17.034749985,12,28,5056,22.113924026,14,32,9856,22.623376846,14,75,16384,24.425781250,13,67,41664,27.049154282,13,55
16820,33152,17.208494186,12,26,5056,22.126583099,15,31,9856,22.487012863,15,85,16384,24.738281250,14,71,41664,27.084486008,14,58
16821,33152,17.065637589,11,28,5056,22.354431152,15,34,9856,22.428571701,14,81,16384,24.679687500,14,69,41664,27.127496719,14,55
16822,33152,17.003860474,12,28,5056,22.898735046,15,37,9856,23.136363983,12,83,16384,24.812500000,14,76,41664,27.141321182,13,55
16823,33152,17.218147278,12,30,5056,22.063291550,15,34,9856,23.435064316,13,83,16384,24.515625000,13,71,41664,27.050691605,14,57
16824,33152,17.166023254,12,32,5056,22.405063629,15,36,9856,23.266233444,13,82,16384,24.640625000,14,74,41664,27.102918625,14,55
16825,33152,17.069498062,12,32,5056,22.063291550,15,38,9856,23.142856598,14,76,16384,24.695312500,14,71,41664,26.926267624,14,55
16826,33152,17.129343033,12,29,5056,22.354431152,13,31,9856,23.279220581,14,90,16384,25.070312500,13,71,41664,26.975421906,15,62
16827,33152,16.907335281,12,31,5056,22.063291550,14,37,9856,23.084415436,11,73,16384,24.648437500,14,64,41664,26.858678818,14,56
16828,33152,16.849420547,12,29,5056,22.101264954,15,37,9856,22.727272034,13,68,16384,24.769531250,14,66,41664,26.961597443,14,62
16829,33152,17.090734482,12,29,5056,22.000000000,15,34,9856,23.337661743,13,83,16384,24.789062500,13,71,41664,27.195083618,14,55
16830,33152,17.046331406,12,34,5056,22.329113007,16,35,9856,23.000000000,14,88,16384,24.742187500,13,74,41664,27.046083450,13,57
16831,33152,17.055984497,12,27,5056,22.582279205,14,36,9856,23.123376846,13,81,16384,24.734375000,13,70,41664,27.036867142,13,60
16832,33152,17.088802338,12,27,5056,21.949367523,15,37,9856,23.188312531,14,78,16384,24.730468750,14,69,41664,27.015361786,13,58
16833,33152,17.237451553,12,32,5056,21.784811020,14,38,9856,22.779220581,13,77,16384,24.679687500,13,65,41664,26.887865067,14,52
16834,33152,17.121622086,12,33,5056,22.000000000,15,34,9856,22.941558838,14,82,16384,24.750000000,13,82,41664,26.978494644,14,56
16835,33152,17.202703476,13,28,5056,22.354431152,14,36,9856,22.831169128,13,87,16384,24.433593750,12,66,41664,27.076805115,14,54
16836,33152,17.175676346,12,29,5056,21.848100662,15,37,9856,22.597402573,13,74,16384,24.597656250,12,71,41664,26.978494644,15,57
16837,33152,17.164093018,12,30,5056,22.734176636,14,36,9856,22.467533112,15,74,16384,24.917968750,13,71,41664,27.047618866,15,57
16838,33152,17.019304276,12,29,5056,22.316455841,14,36,9856,23.000000000,12,83,16384,24.636718750,13,71,41664,27.124423981,14,54
16839,33152,17.090734482,11,28,5056,22.303796768,13,43,9856,22.435064316,13,76,16384,24.738281250,14,68,41664,27.145929337,14,60
16840,33152,17.216217041,12,33,5056,21.873416901,14,38,9856,22.253246307,14,78,16384,24.695312500,13,73,41664,27.159753799,14,56
16841,33152,17.113899231,11,30,5056,21.924051285,13,35,9856,22.636363983,13,78,16384,24.593750000,14,73,41664,27.158218384,15,55
16842,33152,17.200771332,12,30,5056,22.303796768,14,34,9856,22.766233444,13,82,16384,24.550781250,13,64,41664,27.167434692,14,59
16843,33152,17.009653091,12,29,5056,22.240507126,14,38,9856,22.603895187,14,74,16384,24.519531250,13,71,41664,27.141321182,14,58
16844,33152,17.100385666,12,26,5056,22.025316238,14,36,9856,22.253246307,14,75,16384,24.539062500,13,74,41664,27.119815826,12,56
16845,33152,17.187257767,12,32,5056,22.240507126,15,34,9856,22.642856598,13,77,16384,24.613281250,12,70,41664,26.952381134,14,60
16846,33152,17.023166656,12,28,5056,21.974683762,15,33,9856,22.688312531,13,84,16384,24.515625000,13,68,41664,27.086021423,14,53
16847,33152,17.050193787,11,26,5056,22.303796768,15,37,9856,22.409090042,13,78,16384,24.808593750,13,75,41664,27.175115585,15,57
16848,33152,17.086872101,12,33,5056,22.405063629,14,35,9856,22.253246307,13,79,16384,24.621093750,13,77,41664,27.067588806,14,60
16849,33152,17.000000000,12,30,5056,21.974683762,15,33,9856,22.305194855,14,76,16384,24.628906250,14,73,41664,27.304147720,14,56
16850,33152,17.137065887,12,28,5056,21.949367523,15,34,9856,22.500000000,13,86,16384,24.648437500,14,73,41664,27.356374741,13,51
16851,33152,17.179536819,12,30,5056,21.860759735,15,36,9856,22.435064316,13,80,16384,24.671875000,13,69,41664,27.238094330,13,60
16852,33152,17.185327530,12,29,5056,22.810127258,15,38,9856,22.662338257,14,81,16384,24.386718750,14,72,41664,27.211980820,14,52
16853,33152,17.046331406,12,28,5056,22.126583099,15,33,9856,22.987012863,14,84,16384,24.667968750,13,70,41664,27.201229095,15,52
16854,33152,17.233591080,12,28,5056,22.037975311,15,31,9856,23.045454025,12,76,16384,24.777343750,14,72,41664,27.376344681,14,65
16855,33152,17.108108521,12,30,5056,21.708860397,15,34,9856,23.233766556,13,76,16384,24.566406250,14,69,41664,27.221199036,14,56
16856,33152,17.077220917,12,30,5056,22.759492874,15,36,9856,23.603895187,14,83,16384,24.566406250,13,69,41664,27.514593124,15,60
16857,33152,17.150579453,12,31,5056,22.240507126,14,33,9856,23.409090042,14,76,16384,24.566406250,14,76,41664,27.202764511,13,55
