 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3
317,32,107.469,77,161,225,138.391,61,334,208,125.558,64,248
318,32,106.656,74,161,225,137.498,58,330,208,123.260,69,242
319,32,104.938,76,148,225,137.044,59,322,208,122.293,69,250
320,32,107.375,78,165,225,134.871,62,323,208,121.567,64,235
321,32,108.531,86,137,225,134.760,56,315,208,118.308,64,227
322,32,112.562,81,161,225,134.609,61,319,208,118.096,60,231
323,32,109.594,73,151,225,133.004,59,318,208,117.207,61,219
324,32,107.344,71,149,225,134.222,59,301,208,116.543,65,247
325,32,107.719,75,152,225,134.236,52,329,208,116.846,57,230
326,32,105.406,69,164,225,135.000,61,308,208,116.389,64,208
327,32,104.312,74,147,225,134.587,60,304,208,115.183,63,215
328,32,107.000,74,165,225,134.062,56,316,208,114.832,61,223
329,32,111.562,69,158,225,132.413,60,294,208,115.822,63,210
330,32,108.656,76,177,225,133.853,64,291,208,116.817,60,238
331,32,107.875,71,156,225,134.076,53,318,208,114.495,59,223
332,32,104.844,74,138,225,132.742,55,317,208,114.139,59,206
333,32,107.656,73,143,225,134.360,55,305,208,113.913,64,210
334,32,104.531,75,141,225,132.578,56,307,208,114.990,61,219
335,32,105.438,73,171,225,131.636,53,311,208,113.841,57,227
336,32,106.781,69,163,225,133.867,61,327,208,115.543,58,227
337,32,108.531,71,160,225,133.369,54,315,208,115.798,56,236
338,32,108.344,76,162,225,132.844,64,302,208,115.399,63,232
339,32,108.531,78,160,225,133.067,55,308,208,114.543,59,231
340,32,105.969,79,144,225,133.169,55,300,208,114.553,60,226
341,32,109.531,76,175,225,133.947,54,317,208,114.101,57,260
342,32,104.594,71,146,225,133.524,52,305,208,114.178,60,215
343,32,110.094,68,147,225,134.076,56,305,208,113.226,59,226
344,32,107.000,79,142,225,134.493,59,321,208,114.683,60,224
345,32,105.531,69,148,225,132.818,59,295,208,113.803,55,231
346,32,108.469,77,158,225,133.444,56,304,208,114.115,59,226
347,32,104.688,71,145,225,134.076,57,299,208,115.337,57,213
348,32,109.969,81,147,225,133.973,60,321,208,115.192,64,210
349,32,107.469,79,162,225,133.858,54,303,208,115.995,62,220
350,32,106.562,73,143,225,134.987,58,296,208,113.918,60,229
351,32,107.594,80,136,225,134.653,55,311,208,114.178,59,238
352,32,107.250,70,145,225,133.716,58,308,208,116.250,59,239
353,32,107.000,77,153,225,132.924,56,301,208,113.986,49,237
354,32,106.312,72,165,225,134.280,60,307,208,114.832,60,235
355,32,106.531,67,153,225,133.364,52,290,208,114.510,58,225
356,32,107.750,63,148,225,132.111,57,322,208,114.659,61,221
357,32,107.156,79,152,225,134.093,57,324,208,114.293,62,210
358,32,108.812,74,173,225,132.778,61,274,208,114.808,62,224
359,32,107.469,77,164,225,133.373,63,319,208,113.678,63,232
360,32,107.906,77,142,225,134.489,58,305,208,114.990,63,220
361,32,107.688,69,154,225,135.098,52,315,208,114.740,59,235
362,32,104.688,75,143,225,134.800,51,316,208,113.952,58,222
363,32,105.531,72,148,225,134.587,52,316,208,114.144,63,224
364,32,103.875,82,158,225,133.369,61,304,208,114.293,61,213
365,32,104.969,78,152,225,134.418,58,288,208,114.067,57,208
366,32,103.000,74,149,225,133.316,52,305,208,114.476,59,235
