 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3,Area4,Mean4,Min4,Max4
158,1370,57.067,-15,338,32688,59.508,-42,498,9856,69.708,-50,485,9856,0.69708,-50,485
159,1370,56.024,-17,391,32688,59.209,-46,524,9856,70.95,-55,472,9856,0.7095,-55,472
160,1370,55.074,-59,387,32688,58.96,-44,971,9856,69.564,-51,544,9856,0.69564,-51,544
161,1370,56.126,-28,423,32688,58.698,-60,613,9856,69.024,-62,411,9856,0.69024,-62,411
162,1370,57.95,-31,435,32688,57.808,-52,509,9856,68.732,-49,583,9856,0.68732,-49,583
163,1370,55.014,-32,309,32688,58.181,-72,569,9856,68.894,-51,571,9856,0.68894,-51,571
164,1370,53.683,-32,309,32688,58.031,-62,530,9856,69.605,-52,454,9856,0.69605,-52,454
165,1370,55.299,-35,311,32688,58.273,-42,559,9856,68.358,-51,485,9856,0.68358,-51,485
166,1370,55.009,-26,417,32688,58.194,-48,517,9856,69.452,-39,497,9856,0.69452,-39,497
167,1370,53.852,-13,350,32688,58.339,-59,563,9856,68.351,-37,452,9856,0.68351,-37,452
168,1370,53.892,-41,336,32688,57.916,-42,446,9856,70.491,-42,496,9856,0.70491,-42,496
169,1370,54.505,-18,304,32688,58.209,-50,585,9856,68.706,-38,483,9856,0.68706,-38,483
170,1370,55.528,-30,304,32688,58.029,-64,557,9856,68.6,-61,474,9856,0.686,-61,474
171,1370,54.481,-22,339,32688,58.118,-55,486,9856,68.696,-53,525,9856,0.68696,-53,525
172,1370,55.495,-37,339,32688,57.885,-41,459,9856,68.519,-51,533,9856,0.68519,-51,533
173,1370,53.906,-21,272,32688,58.173,-58,531,9856,68.863,-55,481,9856,0.68863,-55,481
174,1370,53.148,-25,240,32688,58.032,-49,651,9856,68.665,-47,502,9856,0.68665,-47,502
175,1370,54.38,-17,268,32688,57.979,-45,429,9856,67.012,-51,439,9856,0.67012,-51,439
